Lat,Lng,Type,Value,Time
-45.839,170.508,temperature,14,1465019071
-45.839,170.508,temperature,14,1465019074
-45.839,170.508,temperature,14,1465019079
-45.839,170.508,temperature,14,1465019099
-45.839,170.508,temperature,14,1465019100
-45.839,170.508,temperature,14,1465019123
-45.839,170.508,temperature,14,1465019149
-45.839,170.508,temperature,14,1465019157
-45.839,170.508,temperature,14,1465019164
-45.839,170.508,temperature,14,1465019165
-45.839,170.508,temperature,14,1465019167
-45.839,170.508,temperature,14,1465019168
-45.839,170.508,temperature,14,1465019169
-45.839,170.508,temperature,14,1465019175
-45.839,170.508,temperature,14,1465019177
-45.839,170.508,temperature,14,1465019191
-45.839,170.508,temperature,14,1465019198
-45.839,170.508,temperature,14,1465019201
-45.839,170.508,temperature,14,1465019211
-45.839,170.508,temperature,14,1465019244
-45.839,170.508,temperature,14,1465019276
-45.839,170.508,temperature,14,1465019284
-45.839,170.508,temperature,14,1465019295
-45.839,170.508,temperature,14,1465019301
-45.839,170.508,temperature,14,1465019303
-45.839,170.508,temperature,14,1465019304
-45.839,170.508,temperature,14,1465019306
-45.839,170.508,temperature,14,1465019307
-45.839,170.508,temperature,14,1465019321
-45.839,170.508,temperature,14,1465019331
-45.839,170.508,temperature,14,1465019332
-45.839,170.508,temperature,14,1465019346
-45.839,170.508,temperature,14,1465019351
-45.839,170.508,temperature,14,1465019355
-45.839,170.508,temperature,14,1465019357
-45.839,170.508,temperature,14,1465019390
-45.839,170.508,temperature,14,1465019418
-45.839,170.508,temperature,14,1465019419
-45.839,170.508,temperature,14,1465019434
-45.839,170.508,temperature,14,1465019435
-45.839,170.508,temperature,14,1465019466
-45.839,170.508,temperature,14,1465019469
-45.839,170.508,temperature,14,1465019491
-45.839,170.508,temperature,14,1465019495
-45.839,170.508,temperature,14,1465019513
-45.839,170.508,temperature,14,1465019537
-45.839,170.508,temperature,14,1465019587
-45.839,170.508,temperature,14,1465019605
-45.839,170.508,temperature,14,1465019607
-45.839,170.508,temperature,14,1465019609
-45.839,170.508,temperature,14,1465019633
-45.839,170.508,temperature,14,1465019646
-45.839,170.508,temperature,14,1465019654
-45.839,170.508,temperature,13,1465019661
-45.839,170.508,temperature,13,1465019693
-45.839,170.508,temperature,13,1465019699
-45.839,170.508,temperature,13,1465019714
-45.839,170.508,temperature,13,1465019736
-45.839,170.508,temperature,13,1465019739
-45.839,170.508,temperature,13,1465019742
-45.839,170.508,temperature,13,1465019764
